0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,859,859,860,859,859,859,859,859,0,859,861,859,859,859,859,859,859,0,0,0
5,120,862,862,863,864,862,862,862,862,861,862,862,862,862,862,862,862,862,0,0
5,120,121,64,64,0,122,865,64,64,64,862,64,52,64,64,64,64,64,64,0
5,120,121,48,65,65,0,0,122,65,65,65,52,65,0,65,65,65,65,65,65
5,120,121,48,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0,0
5,120,121,48,0,0,0,64,0,0,0,0,0,0,141,0,0,0,0,0,0
5,120,121,48,0,0,0,0,65,0,0,0,0,0,123,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,121,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
