0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0,0,0,0,0,0,0,0
157,158,146,146,146,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,154,146,146,146,0,0,0,0,0,0,0
157,158,155,147,147,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,154,155,147,147,802,0,0,151,100,0,0
157,158,155,102,102,803,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,155,102,102,803,226,0,151,160,0,0
157,161,159,159,159,159,159,159,159,159,159,159,154,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,151,160,0,0
157,161,159,159,154,146,146,146,146,146,146,146,146,155,147,147,147,147,147,147,147,147,147,147,229,182,182,182,182,182,160,0,0
0,162,146,146,146,155,147,147,147,147,147,147,147,147,102,102,102,102,103,148,148,148,148,148,148,163,185,185,185,185,804,0,0
0,0,164,182,182,182,183,148,148,148,148,148,148,148,148,148,148,148,148,104,181,179,179,179,179,179,165,191,82,82,160,0,0
86,145,145,320,320,320,320,179,179,181,181,181,181,181,181,181,181,181,181,181,82,165,166,187,166,187,187,166,189,82,82,145,100
86,82,82,207,166,166,167,166,189,189,82,82,82,82,82,82,82,82,82,82,82,82,168,167,166,166,166,166,168,82,82,82,160
0,90,169,82,170,167,167,167,168,82,82,82,82,82,82,171,171,171,171,171,171,171,171,171,211,172,166,172,172,82,160,90,90
0,0,0,171,171,171,211,211,166,171,236,233,233,171,171,171,0,0,0,0,0,0,0,0,0,0,231,231,231,151,160,0,0
0,0,0,0,231,231,231,0,0,0,234,155,147,147,0,0,0,0,231,231,231,0,0,0,0,0,383,147,147,805,160,0,0
0,0,0,0,383,147,147,147,0,0,0,155,102,102,0,0,0,0,383,147,147,147,0,0,0,0,383,102,102,390,806,0,0
0,0,0,0,383,102,102,102,0,0,0,0,0,0,0,0,0,0,383,102,102,102,173,0,0,0,383,102,102,390,160,0,0
0,0,86,151,151,183,174,174,174,151,151,151,151,151,151,151,151,151,151,174,174,174,174,151,151,151,151,174,174,174,160,0,0
0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0
