0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,6,22,21,10,15,0,0,0,0,0,0,0,0,0
16,115,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,5,10,5,22,18,0,0,0,0,0,0,0,0
128,151,27,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,15,0,0,0,0,0,0,0
14,24,147,66,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,6,22,10,7,18,0,0,0,0,0,0
19,26,27,67,111,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,7,6,21,22,15,0,0,0,0,0
16,115,20,33,25,63,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,5,22,6,8,18,0,0,0,0
128,151,27,23,68,108,144,1021,165,64,253,166,165,64,143,7,8,22,9,7,8,22,9,7,8,22,9,7,8,22,443,284,471,22,9,7,8,22,9,7,8,22,9,7,8,22,9,15,0,0,0
14,24,147,66,17,69,105,13,31,13,13,13,12,13,141,142,28,29,164,641,6,5,10,7,28,29,513,7,6,5,0,0,0,0,10,7,6,5,10,7,6,5,10,7,6,5,10,7,18,0,0
19,26,27,67,111,144,439,206,13,13,13,13,13,31,141,142,13,13,206,141,142,165,28,64,13,13,141,142,28,165,0,0,0,0,70,64,28,165,28,64,28,165,28,64,28,165,424,64,30,0,0
