0,0,285,0,0,0,0,0,0,0,0,0,0
0,374,0,264,0,0,0,0,0,0,0,0,0
0,375,376,0,394,394,0,0,0,0,0,0,0
0,374,377,0,146,378,378,0,0,0,0,0,0
0,375,376,0,0,279,379,379,0,0,0,0,0
0,0,377,340,218,280,380,381,381,0,103,0,0
0,0,0,340,341,382,383,116,0,0,0,0,21
0,374,0,0,341,384,385,674,0,0,0,0,21
0,375,376,440,0,338,117,675,0,0,0,0,21
0,0,377,0,442,676,677,0,0,0,0,0,21
0,0,0,25,0,0,678,222,0,0,0,0,21
0,0,0,0,28,0,386,387,253,0,0,0,21
0,0,0,0,0,0,223,387,253,0,0,0,21
0,0,0,0,0,0,29,679,253,29,29,29,21
0,0,0,0,0,0,0,0,103,21,0,0,0
0,0,0,0,0,0,0,0,104,21,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
