0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,674,207,149,149,149,149,149,149,149,149,149,78,0
0,0,0,0,0,674,675,0,0,0,0,0,0,53,183,183,79,0
0,0,0,0,53,609,675,0,0,0,0,0,0,0,53,183,79,0
0,0,0,0,53,80,376,0,0,0,0,0,0,0,183,183,79,0
0,0,198,0,53,81,150,0,0,0,0,0,0,0,53,201,79,0
0,0,676,80,80,81,39,0,0,0,0,0,0,0,53,53,79,0
148,39,39,150,150,150,39,0,0,0,0,0,0,674,53,53,79,0
0,39,39,39,39,39,39,0,0,0,0,0,0,0,677,53,79,0
0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
0,0,678,40,0,0,0,0,0,0,0,0,353,0,0,0,79,0
0,0,678,40,0,0,0,53,53,0,0,0,0,354,0,0,79,0
0,75,74,40,0,0,0,183,53,183,183,183,183,610,0,0,79,0
0,0,76,18,194,53,0,183,201,53,201,183,201,183,679,0,79,0
0,0,352,53,53,53,53,53,53,53,53,53,201,53,183,0,79,0
0,0,0,158,158,158,158,158,611,53,53,158,158,158,158,158,158,0
0,0,0,0,0,0,0,0,352,53,53,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,158,158,0,0,0,0,0,0,0
