0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,836,837,7,7,7,7,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835,836,836,836,837,7,7,7,7,839,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,7,836,836,843,836,837,844,7,839,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,7,836,846,847,836,837,848,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,850,0,0,0,0,0,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,851,0,0,0,15,850,0,0,0,15,850,0,0,0,15,850,0,0,0,0,0,0,0,0,0,529,852,0,0,0,0,24,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,529,852,0,0,0,529,852,0,0,0,529,852,0,0,0,529,852,0,0,0,0,0,0,0,0,0,853,539,0,0,0,24,0,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,853,539,0,0,0,853,539,0,0,0,853,539,0,0,0,853,539,0,0,0,0,0,0,0,0,0,854,855,0,0,24,0,0,837,7,836,846,847,836,849,841,845,845,845,845,840,841,0,0,0,0,0,0,0,0,0,0,0,0,0
