0,0,0,0,0,0,0,0,0,0,0
128,6,5,8,21,6,15,0,0,0,0
185,114,7,44,9,5,7,18,0,0,0
128,113,155,21,8,44,44,21,15,0,0
39,114,126,116,6,7,8,8,6,18,0
0,40,155,81,274,164,28,164,166,717,0
0,0,41,116,24,13,13,13,13,220,0
0,0,0,40,274,13,13,13,13,220,0
0,0,0,0,71,43,826,220,43,43,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,827,220,0,0,0
0,0,0,0,0,0,0,220,0,0,0
0,0,0,0,0,0,0,220,0,0,0
0,0,0,0,0,0,0,38,0,0,0
