9,9
16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384
16384,16384,0,0,0,0,0
16384,16384,0,0,8,0,0
16384,16384,0,0,0,0,0
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,3,16384,16384
16384,16384,16384,16384,0,16384,16384
16384,16384,16384,16384,6,16384,16384
