0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,8,7,5,6,8,7,5,6,8,7,5,6,8,7,5,6,8,7,5,6,8,7,5,6,8,7,5,6,0,0,0,0,0,0,0,0,0,0
14,69,9,44,22,10,9,44,22,10,9,44,22,10,9,44,22,10,9,44,22,10,9,44,22,10,9,44,22,10,0,0,0,0,0,0,0,0,0
102,17,157,7,6,8,22,7,6,8,22,7,6,8,22,7,6,8,22,7,6,8,22,7,6,8,22,7,6,8,22,0,0,0,0,0,0,0,0
16,148,161,108,22,10,9,10,22,10,9,10,22,10,9,10,22,10,9,10,22,10,9,10,22,10,9,10,22,10,9,10,0,0,0,0,0,0,0
0,111,17,20,66,6,21,7,22,6,21,7,22,6,21,7,22,6,21,7,22,6,21,7,22,6,21,7,22,6,21,7,22,0,0,0,0,0,0
0,0,162,24,163,158,22,8,5,44,22,8,5,44,22,8,5,44,22,8,5,44,22,8,5,44,22,8,5,44,22,8,5,44,0,0,0,0,0
0,0,0,150,27,116,24,164,28,165,166,164,28,165,166,164,28,165,166,164,28,165,166,164,28,165,166,164,28,165,167,10,6,8,7,0,0,0,0
0,0,0,0,187,66,186,240,241,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,141,142,64,167,10,9,0,0,0
0,0,0,0,0,67,158,917,918,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,141,142,13,141,142,64,107,0,0
0,0,0,0,0,0,152,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,141,142,13,141,142,13,13,35,36
0,0,0,0,0,0,0,43,43,43,43,43,94,37,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,142,13,141,142,13,13,13,37
0,0,0,0,0,0,0,0,0,0,0,0,95,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,142,13,32,38,38
0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,0
