0,0,0,0,0,0,0,0,0,0,0,0
11,12,12,12,12,12,0,0,0,0,0,0
18,14,15,17,15,17,17,0,0,0,0,0
11,22,20,15,21,15,46,21,0,0,0,0
11,19,25,20,17,15,15,21,17,0,0,0
11,14,23,25,24,21,47,47,198,21,0,0
18,14,24,26,23,27,28,48,49,50,51,0
18,22,20,24,25,30,0,52,49,50,53,0
11,22,23,24,20,29,53,13,13,50,53,0
0,14,25,184,24,27,53,54,54,54,53,0
0,0,20,25,26,27,53,55,56,53,53,0
0,0,0,24,32,29,53,53,57,55,56,0
0,0,0,0,20,29,53,53,53,53,57,0
0,0,0,0,0,27,55,56,53,53,53,0
0,0,0,0,0,0,34,57,53,34,34,0
0,0,0,0,0,0,0,165,53,0,0,0
0,0,0,0,0,0,0,0,34,0,0,0
