7,6
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,512,516,512,512,512,512,512,512,512
16384,16384,512,516,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,16384,16384,16384,16384
16384,16384,16384,512,256,5,512,16384,16384,16384,16384
16384,16384,16384,512,256,5,512,16384,16384,16384,16384
16384,16384,16384,512,256,5,512,16384,16384,16384,16384
