0,0,0,0,0,0,0,0,0,0,0,0
11,12,13,13,13,12,0,0,0,0,0,0
11,14,15,16,16,16,17,0,0,0,0,0
18,19,20,17,16,16,16,21,0,0,0,0
11,22,25,24,46,16,16,16,15,0,0,0
11,19,25,25,24,21,16,16,97,15,0,0
18,19,32,25,32,24,15,16,16,54,51,0
11,22,25,245,25,25,20,15,185,0,56,0
11,14,25,25,0,25,25,27,28,187,0,0
11,19,20,32,25,165,245,513,0,0,0,0
11,31,25,24,25,29,53,165,0,0,0,0
18,14,26,25,24,29,53,53,53,165,165,0
18,22,20,25,23,27,55,56,53,55,56,0
11,22,23,24,25,30,53,57,53,53,57,0
0,14,25,26,24,25,13,13,13,53,53,0
0,0,24,25,25,20,25,185,185,256,53,0
0,0,0,24,32,23,20,172,187,187,0,0
0,0,0,0,20,29,300,20,188,0,0,0
0,0,0,0,0,27,53,0,0,0,0,0
0,0,0,0,0,0,34,34,165,165,0,0
0,0,0,0,0,0,0,0,165,53,0,0
0,0,0,0,0,0,0,0,0,34,0,0
