32,33,34,34,33,33,34,34,34,34,33,34,34,34,34,34,34,33,34,34,34,34,33,34,34,34,34,34,34,33,34,34,34,34,33,34,34,34,33,34,34,33,0,0,0,0,0,0
37,38,39,30,31,39,39,40,40,40,40,39,40,40,40,40,40,40,39,40,40,40,40,39,40,40,40,40,40,40,39,40,40,40,40,39,40,40,40,39,30,31,39,0,0,0,0,0
37,43,44,47,35,36,47,45,46,46,46,46,45,46,133,46,46,133,46,45,46,46,46,46,45,46,918,46,46,918,46,45,46,46,46,46,45,46,46,46,47,35,36,47,0,0,0,0
37,43,50,44,51,41,42,51,45,46,46,46,46,45,46,134,46,46,134,46,45,46,46,46,46,45,46,919,46,46,919,46,45,46,46,46,46,45,46,46,46,51,41,42,51,0,0,0
32,43,50,50,53,54,48,57,54,54,55,55,55,55,54,55,55,55,55,55,55,54,55,55,55,55,54,55,55,55,55,55,55,54,55,55,55,55,54,55,55,55,54,48,49,54,0,0
32,38,50,50,58,67,159,49,920,135,135,137,137,137,160,93,59,59,59,60,161,137,135,137,137,137,160,61,59,59,60,59,161,137,135,137,137,137,160,93,60,59,59,61,49,57,61,0
37,38,44,50,58,65,49,56,101,103,0,0,0,0,160,57,63,57,49,57,101,0,0,0,0,0,160,49,57,49,52,57,101,0,0,0,0,0,160,66,66,49,57,49,57,49,49,0
37,43,44,44,58,65,63,57,101,103,162,921,921,922,160,57,66,49,57,49,101,0,0,0,0,0,160,57,49,63,57,56,101,0,0,0,0,0,160,52,57,57,49,57,49,63,57,0
37,43,50,44,53,65,63,57,163,103,162,164,109,109,110,49,57,57,49,57,163,0,0,0,921,922,160,49,49,57,57,57,163,0,0,0,921,922,160,49,56,63,57,49,49,57,57,0
32,43,50,50,53,67,66,49,101,103,162,69,57,57,49,57,49,63,57,49,101,0,0,0,160,109,110,49,63,57,49,49,101,0,0,0,160,923,110,57,49,57,57,49,63,52,49,0
0,38,50,50,58,67,66,49,101,103,162,69,57,49,57,49,49,57,57,49,101,0,0,0,160,57,63,57,57,63,57,49,163,103,0,0,160,57,57,49,57,49,49,57,66,49,56,0
0,0,44,50,58,65,57,57,163,103,162,69,57,49,49,57,57,49,49,63,101,103,0,0,160,49,57,57,49,57,57,63,101,103,342,0,160,49,57,49,57,49,57,49,66,49,57,0
0,0,0,44,58,65,52,49,101,103,162,69,49,49,49,49,63,63,52,57,101,103,162,0,160,68,49,49,57,49,57,66,163,103,162,0,160,49,49,63,63,57,49,63,57,57,49,0
0,0,0,0,53,65,49,56,924,165,925,379,166,49,63,63,57,57,57,56,924,165,925,162,913,63,56,57,49,57,49,63,924,165,925,162,913,63,57,57,57,57,68,57,57,49,49,0
0,0,0,0,0,67,63,57,49,49,336,335,167,57,66,66,49,49,63,57,49,57,336,335,926,57,49,63,63,57,49,57,57,63,336,335,926,57,49,57,49,63,57,56,49,49,57,0
0,0,0,0,0,0,62,62,62,62,62,335,106,62,62,62,62,62,62,62,62,62,62,335,106,62,62,62,62,62,62,62,62,62,62,335,106,62,62,62,62,62,62,62,62,62,62,0
0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0
