770,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0
0,588,0,0,0,0,0,0,0,0,771,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,446,0,0,0,0,0,0,0,0,0,773,0,774,775,776,0,0,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,773,0,0,0,0,0,0,0,0,525,778,775,779,780,781,782,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,784,0,0,0,0,0,0,0,0,0,785,786,787,788,0,789,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,791,0,0,0,0,0,0,0,0,0,792,793,794,795,0,796,0,0,0,797,774,798,0,0,256,256,256,256,256,256,256,0,0,256,256,256,17,0,0,0,0,0
0,0,0,0,588,0,0,0,0,0,256,256,256,799,800,801,802,783,0,803,776,0,804,783,772,805,0,257,258,258,258,258,258,258,180,0,195,806,806,806,180,0,177,0,0
0,0,0,0,446,0,0,0,0,256,807,808,808,808,773,809,810,811,812,0,813,814,815,816,0,777,817,0,259,260,260,260,260,260,285,182,0,207,285,285,260,182,177,0,0
0,0,0,0,0,773,0,0,256,807,818,819,819,819,820,821,822,823,824,825,776,802,826,827,0,0,783,0,0,199,261,261,261,261,357,280,185,0,211,280,199,828,210,0,0
0,0,0,0,0,784,0,0,257,829,830,830,830,830,830,831,832,826,826,833,834,835,836,837,838,839,0,0,0,0,201,202,202,202,202,174,0,0,0,0,0,201,56,0,0
0,0,0,0,0,0,791,0,0,259,285,285,285,285,285,285,840,841,842,842,832,843,844,845,846,847,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,255,255,588,0,0,262,280,280,280,280,280,280,849,850,851,851,852,853,854,855,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0
0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,496,439,468,856,857,858,859,860,861,862,0,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
0,0,0,0,0,215,216,0,0,0,0,0,0,0,0,434,864,865,866,867,868,435,869,870,436,871,872,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,177
0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,874,875,876,877,878,879,880,881,882,883,464,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0
0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,885,435,886,887,812,0,888,889,890,503,0,0,0,0,0,0,0,0,0,0,0,263,263,263,0,0,0,0,0
0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,891,892,893,894,825,0,895,896,897,0,0,0,0,0,0,0,0,0,0,0,195,317,317,204,0,177,0,0
0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,898,899,0,900,901,902,0,903,0,904,0,0,0,0,0,0,0,0,0,0,0,207,441,441,206,177,0,0
0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,905,0,0,906,907,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,280,280,185,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,909,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,216,216,216,216,216,216,216,216,216,216,216,216,216,216,910,911,216,912,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,177,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
