8,13
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384
16384,16384,16384,1536,17920,17920
16384,16384,16384,17920,11,0
16384,16384,16384,17920,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,22,0
16384,16384,16384,8192,4,0
16384,16384,16384,8192,4,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,23,0
16384,16384,16384,8192,4,0
16384,16384,16384,8192,4,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,24,0
16384,16384,16384,8192,4,0
16384,16384,16384,8192,4,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
16384,16384,16384,17664,0,0
