0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,322,323,0,0,322,323,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,324,325,0,0,324,325,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,326,327,0,0,326,327,0,0,0,0,0,0,0
0,0,0,94,0,0,278,278,278,278,278,278,278,0,0,0,0,0,0,0
0,0,0,96,97,0,436,197,197,197,197,197,197,146,278,0,0,0,0,0
0,0,0,0,98,139,436,197,197,197,197,197,197,146,208,146,278,0,0,0
0,0,0,0,0,141,436,197,197,197,197,197,197,146,208,146,208,365,0,0
0,0,0,94,0,0,436,197,197,197,197,197,197,146,208,146,208,365,0,0
0,0,0,96,97,0,436,197,197,197,197,197,197,146,208,146,208,365,0,0
0,0,0,0,98,139,436,197,197,197,197,197,197,146,208,146,208,0,0,240
0,0,0,0,0,141,436,197,197,197,197,197,197,146,208,146,208,0,0,240
0,0,0,0,0,0,460,513,513,513,513,513,513,146,208,146,208,365,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,146,208,365,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,365,0,0
