0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0
347,51,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0
347,51,51,66,66,66,51,51,66,66,66,0,0,0,0,0,0
347,51,51,51,66,66,66,51,58,66,66,66,0,0,0,0,0
347,51,51,51,51,66,66,66,58,60,66,66,66,0,0,0,0
347,51,51,51,51,58,64,64,64,60,60,64,64,54,0,0,0
347,51,51,51,51,58,60,60,60,60,60,60,60,62,384,0,0
347,51,51,51,51,51,220,220,220,220,220,220,220,220,384,366,0
347,51,51,51,51,51,269,267,267,267,267,267,267,267,267,366,307
347,51,51,51,51,51,269,270,264,264,264,264,264,264,264,264,307
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,676,269,270,0,0,0,0,0,0,0,0,0
347,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
0,51,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
0,0,51,51,51,51,269,270,0,0,0,0,0,0,0,0,0
0,0,0,51,51,51,269,270,0,0,0,0,0,0,0,0,0
0,0,0,0,51,51,269,270,0,0,0,0,0,0,0,0,0
0,0,0,0,0,51,269,270,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,269,270,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
