7,6
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,18944,18944,9472,9472,18944,18944
16384,16384,16384,16384,16384,16384,18944,1280,1281,1281,1280,1280
16384,16384,16384,16384,16384,16384,18944,1024,1024,1024,1024,1024
16384,16384,16384,16384,16384,16384,18944,768,768,768,768,768
16384,16384,16384,16384,16384,16384,18944,512,512,512,512,512
16384,16384,16384,16384,16384,16384,18944,256,256,256,256,256
16384,16384,16384,16384,16384,16384,18944,0,0,0,0,0
16384,16384,16384,16384,16384,16384,18944,0,0,0,0,0
16384,16384,16384,16384,16384,0,18944,0,0,0,0,0
16384,16384,16384,16384,16384,0,18944,1536,1536,21,0,0
16384,16384,16384,16384,16384,16384,18944,1536,1536,0,0,0
16384,16384,16384,16384,16384,16384,18944,1536,1536,0,0,0
16384,16384,16384,16384,16384,16384,18944,1536,11,0,0,0
