11,7
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,8448,8448,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,8449,8449,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,8448,8448,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16640,16896,17152,17408,17408,17664,17920,17920,18176,18176,18176,18176,18176,256,256,256,256,17664,18176,18176,18176,18176,18176,18176,18176,18176,18176,18176,16384,16384,16384
16384,16384,16384,16640,16896,17152,17408,17408,17664,17920,17920,17920,18176,18176,17664,512,256,256,256,256,17408,17408,17408,17408,17664,17664,17920,17920,17920,18176,18176,16384,16384,16384
16384,16384,16384,16640,16896,17152,17152,17408,17408,17664,17664,17664,17664,17664,512,512,256,256,256,256,17152,17152,17152,17408,17408,17664,17664,17664,17920,17920,17920,16384,16384,16384
16384,16384,16384,16896,16896,16896,17152,17152,17408,17408,17408,17408,17408,512,512,512,256,256,256,256,16896,16896,17152,17152,17152,17408,17408,17664,17664,17664,17664,16384,16384,16384
16384,16384,16384,17152,17152,17152,17152,17152,17152,512,512,512,512,512,256,256,256,256,256,256,16896,16896,16896,16896,17152,17152,17152,17152,17152,17408,17408,16384,16384,16384
16384,16384,16384,512,512,512,512,512,512,512,512,512,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,16384,16384,16384
8448,8452,8448,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,258,8448,8454,24832
8448,8452,8448,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,258,8448,8454,24832
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,16384,16384,16384
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,16384,16384,16384
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,16384,16384,16384
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,16384,16384,16384
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,17152,17152,17152,17152,17152,17152,16384,16384,16384
16384,16384,16384,512,512,256,256,256,256,256,256,256,256,256,256,256,17152,17152,17152,17152,17152,256,256,256,256,17152,17152,17152,17152,17152,17152,16384,16384,16384
16384,16384,16384,512,512,512,512,512,512,512,512,256,256,256,256,256,17152,17152,17152,17152,17152,256,256,256,256,17152,17152,17152,17152,17152,17152,16384,16384,16384
