417,461,461,462,510,463,461,462,510,463,461,462,463,461,462,510,463,461,461,462,463,461,461,0,0,0,0,0,0,0,0
417,419,420,420,421,27,422,420,421,29,422,420,421,862,420,421,29,422,420,420,421,863,420,420,0,0,0,0,0,0,0
418,419,383,425,426,27,29,27,425,27,27,27,426,27,27,425,27,29,27,425,426,518,864,425,426,0,0,0,0,0,0
0,424,383,387,430,429,29,27,29,430,29,29,27,429,29,865,428,27,27,27,430,429,34,519,428,429,0,0,0,0,0
423,466,377,387,431,428,430,27,27,29,428,27,29,29,430,27,29,465,27,29,27,428,430,46,45,465,430,0,0,0,0
417,427,388,386,387,387,432,434,433,433,433,432,433,433,433,434,433,433,432,433,433,433,432,434,45,45,432,434,0,0,0
418,419,377,377,442,387,389,435,435,511,45,48,435,45,45,45,435,45,45,435,45,45,45,435,435,45,45,435,435,0,0
0,424,383,386,377,388,389,48,45,181,45,45,45,45,181,45,45,45,45,45,45,181,45,45,45,45,45,45,45,0,0
0,464,377,387,388,377,378,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,48,181,0,0
0,464,386,386,387,377,378,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,181,45,45,0,0
0,466,377,388,388,431,378,45,45,45,45,45,45,48,45,45,45,45,45,45,181,45,45,45,45,45,45,45,45,0,0
0,464,388,377,386,377,389,45,45,45,45,181,439,512,512,45,45,181,439,512,512,48,45,45,439,512,512,45,45,0,0
0,464,386,377,377,388,378,48,45,181,45,45,439,866,179,0,45,45,439,866,179,0,45,45,439,866,179,0,45,0,0
0,466,377,442,377,377,378,45,45,45,45,45,45,565,187,0,45,45,45,565,187,0,45,45,45,565,187,0,45,0,0
423,464,388,386,388,438,378,45,181,45,45,48,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0
417,427,377,377,388,438,440,45,45,45,45,45,45,45,45,45,45,45,45,45,45,181,45,45,181,45,45,45,45,0,0
418,419,377,386,377,438,440,45,45,45,45,45,45,181,45,45,45,45,45,45,45,45,45,45,45,45,45,45,181,0,0
0,424,383,377,442,377,440,45,45,45,45,45,45,439,512,512,45,45,48,439,512,512,45,45,45,439,512,512,45,0,0
423,464,377,431,386,388,378,45,181,45,45,45,45,439,866,179,0,45,45,439,866,179,0,48,45,439,866,179,0,0,0
417,427,386,386,387,388,378,45,45,45,45,45,45,45,565,187,0,45,45,45,565,187,0,45,45,45,565,187,0,0,0
417,419,377,388,442,387,378,45,45,45,45,45,181,45,45,45,45,45,181,45,45,45,45,45,181,45,45,45,45,0,0
0,419,383,386,386,388,389,181,45,45,45,45,45,45,45,45,45,48,45,45,45,45,45,45,45,45,45,45,45,0,0
0,0,383,387,388,388,378,45,45,45,45,45,45,45,45,45,45,45,45,181,45,45,45,45,45,45,439,563,564,0,0
0,0,0,387,431,377,378,45,45,48,181,45,45,45,439,512,512,45,45,45,439,512,512,45,181,45,439,381,382,0,0
0,0,0,0,431,431,378,45,45,181,45,45,45,45,439,866,179,0,45,45,439,866,179,0,45,45,45,565,385,0,0
0,0,0,0,0,387,389,45,45,45,45,45,45,48,45,565,187,0,45,181,45,565,187,0,45,48,45,45,0,0,0
0,0,0,0,0,0,389,181,45,45,181,45,45,45,45,181,45,45,45,48,45,45,45,45,181,45,181,45,45,0,0
0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,45,45,45,51,51,51,51,51,51,51,51,51,51,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,331,331,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,332,0,0,0,0,0,0,0,0,0,0,0,0
