0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,74,74,74,75,75,75,75,75,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,18,18,18,18,75,75,75,75,74,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,74,12,11,11,18,74,75,76,74,18,18,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,74,18,12,11,11,18,74,74,74,18,12,18,18,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,74,18,12,11,12,18,74,76,75,18,12,12,12,18,74,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,75,74,18,11,11,12,18,75,75,76,18,12,12,11,18,74,74,0,0,0,0,0,0,0,0,148,39,39,0,0,0,0,0,0
111,75,75,76,11,11,11,12,18,74,75,18,12,11,11,18,74,74,74,74,0,0,0,0,0,0,148,39,204,0,0,0,0,0,0
111,75,75,75,18,18,12,11,12,74,75,76,18,12,11,11,18,74,18,18,18,149,149,149,149,149,826,39,204,125,149,149,149,78,0
111,75,75,75,74,74,18,12,12,18,74,75,18,12,11,11,11,18,183,183,183,183,183,53,53,53,81,39,204,125,53,53,53,79,0
111,75,75,75,75,76,75,18,11,12,18,75,74,18,11,11,40,40,53,183,201,183,183,200,53,53,81,39,204,125,53,0,53,79,0
111,75,75,74,76,74,75,74,18,11,18,74,75,74,18,12,40,0,0,53,183,53,53,53,53,53,81,39,204,125,53,0,53,79,0
111,74,74,74,74,74,75,75,18,11,11,18,74,76,18,12,11,0,0,0,0,0,0,0,53,53,81,39,204,125,53,0,53,79,0
111,76,74,18,18,74,76,75,74,18,18,12,18,18,18,12,11,0,0,0,53,0,0,0,53,53,81,39,204,125,53,53,53,79,0
111,75,75,74,11,18,18,75,75,18,74,18,18,12,18,12,11,0,0,0,53,80,80,80,80,80,81,39,204,125,53,53,53,79,0
111,75,75,75,18,12,11,18,76,77,77,76,75,74,11,18,11,0,0,0,53,81,150,150,150,150,150,39,204,125,53,53,53,79,0
111,75,75,75,74,11,12,11,18,74,0,77,77,75,76,18,11,0,0,0,53,81,39,39,39,39,39,39,204,125,53,53,53,79,0
111,74,75,75,76,77,12,11,18,74,0,0,0,454,74,74,18,0,0,0,53,81,39,204,84,84,84,84,84,125,53,53,53,79,0
111,74,76,75,75,74,11,12,11,18,0,0,0,0,0,76,18,40,53,0,53,81,39,204,125,53,53,53,53,53,53,53,53,79,0
452,18,74,75,75,74,18,40,40,11,0,0,0,0,0,0,77,18,53,53,53,81,39,204,125,53,0,0,0,0,0,0,0,79,0
452,12,77,77,74,74,18,11,40,40,18,0,53,0,0,0,0,18,53,80,80,81,39,204,125,53,0,0,0,0,0,0,0,79,0
452,12,12,12,18,18,18,11,12,11,40,0,0,0,18,18,12,0,53,81,150,150,39,204,125,53,53,53,53,53,53,0,0,79,0
452,12,11,11,12,12,12,12,11,40,53,53,0,0,74,76,18,18,53,81,39,39,39,204,125,53,53,53,53,53,53,200,53,79,0
452,12,11,40,40,11,12,12,12,196,53,53,53,0,74,75,75,76,18,81,39,204,84,84,125,53,53,53,53,183,183,201,53,79,0
111,12,12,11,11,40,40,11,11,0,53,53,53,53,18,76,74,75,74,81,39,204,125,53,53,183,200,53,53,201,183,183,200,79,0
111,18,12,12,11,40,11,40,18,196,53,53,53,53,12,18,18,18,76,81,39,204,125,53,53,183,183,183,183,53,183,201,201,79,0
111,18,12,12,11,11,11,12,18,74,126,77,18,12,12,11,11,11,206,81,39,204,125,53,53,0,0,0,183,183,183,183,201,79,0
111,74,18,12,11,40,40,12,18,75,75,75,74,12,11,11,40,40,206,81,39,204,151,53,53,0,0,0,53,183,183,183,200,79,0
111,75,74,18,12,40,40,12,12,74,76,76,75,77,18,11,40,40,11,81,39,39,150,152,53,0,0,53,53,183,183,202,53,79,0
111,75,75,18,12,12,11,40,12,18,75,18,74,77,77,18,11,11,11,0,39,39,39,204,125,0,0,0,53,827,183,53,53,79,0
111,76,76,74,18,12,11,11,40,12,74,18,53,53,200,53,53,53,0,0,84,153,39,204,125,154,53,0,53,53,828,201,53,79,0
111,74,76,74,74,12,11,11,40,12,18,18,202,201,183,201,200,53,0,0,53,81,39,204,125,53,53,53,53,53,53,201,201,79,0
111,75,75,74,75,18,12,40,11,40,11,18,53,53,53,183,201,53,0,0,0,81,39,204,125,53,53,53,183,183,53,201,53,79,0
111,75,75,75,75,75,18,11,40,40,11,11,53,202,183,183,201,53,12,0,0,81,39,204,125,53,53,53,53,183,183,53,53,79,0
111,75,75,75,75,74,18,12,40,40,40,11,53,183,183,183,201,53,12,18,0,81,39,204,125,53,53,183,183,183,53,53,53,79,0
111,74,75,74,75,75,18,18,829,83,83,194,53,183,183,183,201,53,12,18,76,81,39,204,125,183,53,183,201,183,53,53,53,79,0
111,76,75,74,75,75,75,75,76,830,831,0,0,0,183,53,53,53,11,40,74,81,39,204,125,183,183,183,183,53,201,200,53,79,0
111,75,75,74,74,18,75,75,75,74,74,38,0,0,0,0,0,118,11,11,18,81,39,204,125,53,183,183,53,0,53,201,53,79,0
111,76,75,75,74,18,76,75,74,75,74,74,832,155,53,53,0,118,12,12,12,81,39,204,125,53,183,201,183,0,53,53,53,79,0
111,75,75,75,74,18,18,18,74,74,74,75,76,74,833,637,156,126,18,18,11,81,39,204,125,53,53,183,183,201,53,53,53,79,0
