9,10
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,17664,17664,17664,17664,17664,8192,17664,17664
16384,16384,17664,0,0,0,0,1,0,256
16384,16384,17664,16896,270,270,0,0,0,256
16384,16384,17664,0,0,0,0,0,0,0
16384,16384,17664,0,0,0,0,0,0,0
16384,16384,17664,256,0,0,0,0,0,0
16384,16384,17664,256,0,0,0,0,0,0
16384,16384,17664,256,0,0,3,0,0,0
16384,16384,16384,16384,16384,16384,8192,16384,16384,16384
16384,16384,16384,16384,16384,16384,8198,16384,16384,16384
