0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
968,10,6,10,9,8,44,10,6,9,21,6,9,0,0,0,0,0,0,0,0,0
968,715,9,10,21,7,969,6,273,21,7,10,9,7,0,0,0,0,0,0,0,0
968,523,529,10,21,10,6,10,970,8,10,44,6,970,6,0,0,0,0,0,0,0
968,715,971,715,390,390,390,167,273,969,9,6,9,10,6,273,0,0,0,0,0,0
968,715,529,714,45,45,45,972,271,8,10,7,8,7,21,9,969,0,0,0,0,0
968,523,715,322,355,355,355,355,271,973,390,390,390,316,6,10,7,10,0,0,0,0
968,715,715,529,523,124,124,46,124,973,45,45,45,972,271,9,273,44,273,0,0,0
968,523,529,529,971,715,645,645,645,645,45,45,45,972,271,271,7,8,6,8,0,0
968,715,715,715,714,529,45,45,45,45,45,45,45,972,272,272,973,974,975,974,975,0
968,528,529,971,529,523,355,355,355,355,355,355,355,355,271,271,976,977,977,977,977,0
0,714,523,978,715,715,715,124,46,124,46,124,46,124,46,272,973,977,977,977,977,0
0,0,971,529,714,529,529,529,46,124,46,124,46,124,46,124,976,977,977,977,977,0
0,0,0,715,715,715,714,715,979,980,980,980,980,980,980,980,980,977,977,977,977,0
0,0,0,0,529,529,529,529,979,977,977,977,977,977,977,977,977,977,977,977,977,0
0,0,0,0,0,527,715,523,979,977,977,977,977,977,977,977,977,977,977,977,977,0
0,0,0,0,0,0,528,529,979,977,977,977,977,977,977,977,977,977,977,977,977,0
0,0,0,0,0,0,0,715,979,977,977,977,977,977,977,977,977,977,977,977,977,0
0,0,0,0,0,0,0,0,979,977,977,977,977,977,977,977,977,977,977,977,977,0
0,0,0,0,0,0,0,0,0,981,981,981,981,981,981,981,977,977,977,981,981,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982,977,977,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,981,0,0,0
