0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,16,240,240,240,16,240,240,83,83,240,16,240,623,624,625,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,19,19,19,353,353,626,30,56,627,241,353,628,30,623,629,19,623,54,630,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,34,34,34,631,353,353,628,30,353,242,353,353,89,623,353,632,34,633,634,54,201,0,243,428,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,244,34,34,34,245,635,242,626,30,636,241,241,353,89,636,353,353,637,30,34,638,639,199,0,440,640,378,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30,19,132,132,245,246,242,241,628,623,241,242,242,641,636,641,353,242,637,30,19,247,642,643,644,645,646,647,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,34,19,34,244,244,245,631,242,353,30,56,242,242,637,30,353,353,242,353,626,19,34,649,650,25,248,651,249,652,653,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,132,34,19,19,19,138,635,353,30,623,241,242,242,626,623,56,242,242,655,628,34,19,656,250,657,658,131,659,660,652,653,654,0,0,0,661,662,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,34,34,244,30,34,34,34,631,353,89,623,56,242,242,242,626,353,56,353,353,637,664,19,665,666,251,131,131,667,668,669,660,652,653,654,0,670,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,253,19,30,19,132,19,19,635,353,636,241,241,242,242,242,353,641,241,242,353,626,30,665,658,131,131,652,671,672,673,660,652,674,652,675,676,677,373,28,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,34,19,19,34,30,34,138,34,34,353,56,56,353,353,353,353,353,353,56,353,353,641,628,679,254,131,131,652,680,34,34,681,652,682,652,674,683,131,684,28,624,685,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,34,19,132,255,256,19,19,253,19,20,36,36,36,36,36,36,36,36,36,36,36,36,36,686,249,131,131,131,687,257,688,668,689,674,690,656,691,131,684,28,30,30,622,466,0,0,0,0,0,0,0,0,0,0,0,0,0
12,19,34,253,246,258,245,34,34,19,20,25,25,25,25,25,25,25,25,25,25,25,25,25,692,0,259,259,259,259,0,19,693,694,695,696,697,698,131,684,28,30,19,19,624,474,699,260,260,260,260,260,0,0,0,0,0,0
12,34,34,261,34,247,642,700,261,34,20,25,28,355,701,355,355,701,355,701,701,355,701,701,702,0,0,0,0,0,0,0,19,703,704,705,706,707,131,708,28,19,19,34,34,19,624,709,262,263,262,262,262,0,0,0,0,0
12,19,34,19,19,34,649,629,245,30,20,25,28,30,353,353,353,353,353,353,353,353,353,353,710,0,0,0,0,0,0,0,0,711,712,19,713,707,131,708,28,30,34,34,19,19,34,264,262,263,265,263,262,262,0,0,0,0
16,132,255,256,132,255,256,714,715,138,20,25,28,34,19,241,266,267,266,267,241,241,266,267,716,0,268,0,268,0,0,0,0,0,717,19,718,719,720,721,722,269,269,19,19,34,34,264,265,263,265,262,265,263,262,0,0,0
