0,0,0,0,0,0,0,0,0
54,151,5,6,0,0,0,0,0
7,120,8,555,147,0,0,0,0
178,205,232,146,72,147,0,0,0
144,37,38,222,148,149,150,0,0
157,50,27,28,9,152,153,154,0
7,184,151,120,340,171,30,41,0
178,205,230,35,10,519,30,41,0
144,37,38,574,29,31,30,32,0
157,50,27,28,48,181,30,32,0
7,184,151,120,340,171,30,41,0
178,205,230,35,10,519,30,32,0
144,37,38,574,29,200,30,159,0
157,50,27,28,48,181,30,41,0
7,184,151,120,340,171,30,41,0
178,205,230,35,10,519,30,32,0
144,37,38,574,29,31,30,159,0
157,50,27,28,48,1014,30,41,0
7,184,151,120,340,171,30,41,0
178,205,230,35,10,519,30,41,0
144,37,38,574,29,31,30,41,0
144,222,27,28,48,1014,30,41,0
178,1015,71,120,340,171,30,32,0
144,37,1016,11,10,519,30,32,0
157,222,27,1017,29,31,30,41,0
157,184,71,120,1018,1014,30,41,0
7,184,230,11,10,1019,30,41,0
178,205,230,574,29,31,30,41,0
144,37,38,574,48,1014,30,1020,0
0,50,27,174,48,171,30,41,0
0,0,151,120,194,1021,30,41,0
0,0,0,35,10,549,30,32,0
0,0,0,0,29,200,30,41,0
0,0,0,0,0,181,39,41,0
0,0,0,0,0,1022,40,41,0
0,0,0,0,0,42,43,44,15
0,0,0,0,0,0,46,47,0
