6,7
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384,16384
16384,16384,16384,17408,17408,17920,17920,17920,17920,17920,1024,1024,768,768,768
16384,16384,16384,17408,17408,17920,17920,17920,17920,17920,768,1024,768,768,768
16384,16384,16384,17408,17408,17920,17920,17920,17920,17920,768,1024,768,768,768
16384,16384,16384,17408,17408,17920,17920,17920,17920,17920,768,1024,768,768,768
16384,16384,16384,17408,17408,17920,8960,17920,17920,17920,768,768,768,768,768
16384,16384,16384,17408,17408,768,769,768,768,768,768,768,768,768,768
16384,16384,16384,768,768,768,768,768,768,768,768,768,768,768,768
16384,16384,16384,768,768,768,768,768,768,768,768,768,768,512,512
16384,16384,16384,768,768,768,768,512,512,512,512,512,512,512,512
16384,16384,16384,768,768,768,768,512,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,512,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,512,512,512,512,512,512,512,512
16384,16384,16384,512,512,512,512,512,512,512,512,512,256,256,256
16384,16384,16384,512,512,512,512,512,512,512,512,512,256,256,256
16384,16384,16384,512,512,512,512,256,256,256,256,256,256,256,256
16384,16384,16384,512,512,512,512,256,256,256,256,256,256,256,256
16384,16384,16384,256,256,256,256,256,256,256,256,256,256,256,256
16384,16384,16384,256,256,256,256,256,256,259,259,256,256,256,256
16384,16384,16384,16384,16384,16384,16384,16384,16384,8448,8448,16384,16384,16384,16384
16384,16384,16384,16384,16384,16384,16384,16384,16384,8454,8454,16384,16384,16384,16384
