0,197,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,440,201,616,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,617,461,175,618,462,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,619,619,484,485,463,462,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,192,484,485,463,462,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,430,251,192,484,485,463,462,196,196,196,196,196,196,196,196,196,196,196,250,0,0,0
0,0,0,0,0,488,0,0,0,192,484,485,463,201,201,201,201,201,201,201,201,201,252,523,215,0,0
0,0,0,0,0,0,0,0,0,0,0,192,484,172,172,172,172,172,172,172,172,172,465,170,215,193,0
0,0,0,0,0,0,0,0,0,0,0,0,0,192,192,192,192,192,192,192,192,192,210,170,215,193,0
0,0,0,0,0,0,0,0,464,196,196,196,196,196,196,196,196,196,196,196,0,0,210,170,215,193,0
0,0,0,0,0,0,0,0,210,557,557,253,350,201,201,201,201,201,201,441,208,0,210,170,215,193,17
0,0,0,0,0,0,0,0,210,85,85,86,249,172,172,172,172,172,189,444,198,199,604,170,215,193,17
0,0,0,0,0,0,464,197,953,85,85,170,215,192,192,192,192,192,446,169,203,201,151,170,215,193,17
0,0,0,0,0,0,486,253,954,85,85,170,215,193,0,0,0,0,216,172,172,172,257,412,215,193,17
0,0,0,0,0,0,0,413,84,85,85,170,215,193,0,0,0,0,0,192,192,192,192,192,192,193,0
0,0,0,0,0,0,537,620,955,209,85,170,215,193,0,0,0,0,621,196,196,196,196,250,0,0,17
0,622,111,0,0,0,246,956,957,209,88,170,215,193,0,0,0,0,958,623,201,201,252,523,215,0,17
0,446,128,174,196,0,0,413,959,209,88,170,215,193,621,254,254,621,960,961,190,172,465,170,215,193,17
0,216,172,624,618,462,196,0,246,411,411,412,215,193,440,256,256,256,625,962,260,192,210,170,215,193,17
0,0,192,192,484,485,463,462,196,413,192,192,192,193,216,172,172,172,172,172,191,193,210,170,215,193,17
0,0,0,0,0,192,484,485,463,462,196,0,0,0,0,192,192,192,192,192,192,193,210,170,215,193,0
0,0,0,0,0,430,251,192,484,485,463,462,196,196,196,196,196,196,196,196,196,196,604,170,215,193,0
0,0,0,0,0,488,0,0,0,192,484,626,963,201,201,201,201,201,201,201,201,201,151,170,215,193,17
0,0,0,0,0,0,0,0,0,0,0,192,964,172,172,172,172,172,172,172,172,172,257,412,215,193,17
0,0,0,0,0,0,0,0,0,0,0,0,0,192,192,192,192,192,192,192,192,192,192,192,192,193,0
0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,28,0,0,28,28,28,28,28,28,28,28,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
