2628,2627,2868,2853
6911,0,93,6911
802,803,251,252
36864,36864,36936,32768
39679,32768,32861,39679
32845,32848,32861,32862
32845,32846,32859,32860
0,0,33376,33377
36933,36934,32865,32866
32865,32866,32863,32864
32863,32864,32880,32875
39679,32768,32859,36936
32889,32890,32861,32862
32847,39679,32859,32862
36936,32960,35390,32996
4165,4166,97,98
50,111,48,49
32818,32879,32857,32895
32896,32848,32859,32860
32847,33343,35390,32996
73,74,89,42
75,76,89,42
32843,32798,32857,32810
32859,33343,35390,32996
91,575,2622,228
35396,35395,35394,33572
95,96,112,107
121,575,2622,228
0,0,48,49
89,90,89,42
79,575,202,203
2628,2627,2626,804
738,739,4252,4252
85,86,4252,6291
97,98,4252,6291
128,80,77,78
91,92,125,126
156,148,156,148
0,0,606,578
786,773,4252,6291
500,501,509,510
128,80,4252,6291
6292,6300,6291,6299
0,0,125,126
720,721,2251,583
6300,98,6299,96
0,0,2657,2656
105,106,0,0
720,721,4252,6291
89,90,2048,2048
2289,2290,2295,705
720,721,7040,171
720,721,2777,2776
722,723,7040,171
93,94,4165,4166
93,94,50,111
97,98,50,111
97,98,112,107
93,94,29,30
48,49,27,28
128,80,4165,4166
41,42,25,26
6315,896,704,705
768,769,821,605
33374,33346,786,773
784,785,800,689
2240,2048,2251,2624
2240,2048,2251,2250
738,739,6300,6299
738,739,796,797
853,247,852,853
836,247,796,797
6292,704,6300,4252
6300,4252,4251,96
2631,203,2637,213
227,228,240,241
2642,228,2648,241
2289,600,2295,705
706,188,706,707
706,188,852,853
720,247,852,853
560,561,558,559
137,138,836,837
6873,6872,558,559
6873,6872,2219,4992
706,188,722,723
560,561,131,132
6849,6848,852,853
6873,6872,852,853
722,723,852,853
786,773,840,705
821,804,2261,594
2048,2048,2261,594
2289,600,805,820
6849,6848,836,837
33573,33588,604,605
768,769,821,605
33374,33346,786,773
784,785,800,689
2240,2048,2251,2624
2240,2048,2251,2250
738,739,6300,6299
738,739,796,797
853,247,852,853
836,247,796,797
6292,704,6300,4252
6300,4252,4251,96
2631,203,2637,213
227,228,240,241
2642,228,2648,241
2289,600,2295,705
706,188,706,707
706,188,852,853
720,247,852,853
560,561,558,559
137,138,836,837
6873,6872,558,559
6873,6872,2219,4992
706,188,722,723
560,561,131,132
6849,6848,852,853
6873,6872,852,853
722,723,852,853
786,773,840,705
821,804,2261,594
2048,2048,2261,594
2289,600,805,820
6849,6848,836,837
33573,33588,604,605
768,769,821,605
33374,33346,786,773
784,785,800,689
2240,2048,2251,2624
2240,2048,2251,2250
738,739,6300,6299
738,739,796,797
853,247,852,853
836,247,796,797
6292,704,6300,4252
6300,4252,4251,96
2631,203,2637,213
227,228,240,241
2642,228,2648,241
2289,600,2295,705
706,188,706,707
706,188,852,853
720,247,852,853
560,561,558,559
137,138,836,837
6873,6872,558,559
6873,6872,2219,4992
706,188,722,723
560,561,131,132
6849,6848,852,853
6873,6872,852,853
722,723,852,853
786,773,840,705
821,804,2261,594
2048,2048,2261,594
2289,600,805,820
6849,6848,836,837
33573,33588,604,605
33573,33588,604,605
604,785,800,689
35405,32981,35410,32981
772,785,800,689
0,803,0,0
608,609,27,28
39,40,79,80
6911,0,79,4168
93,6911,23,24
4168,0,6911,0
35,36,27,28
41,4168,75,6911
41,42,73,74
0,0,6911,0
37,38,27,28
80,0,79,4168
73,74,27,28
93,6911,158,159
743,735,706,707
743,735,6300,6299
738,739,121,122
77,78,23,24
35,36,158,159
6292,6291,121,122
93,4168,125,126
722,723,558,559
722,723,2777,2776
0,0,2648,241
93,94,125,126
560,561,2777,2776
720,247,121,122
89,90,79,80
43,44,806,807
722,723,704,705
43,44,2251,583
4243,705,4243,705
4252,6291,95,96
852,853,0,0
35,36,2251,583
39,40,25,26
91,92,2251,583
93,94,73,74
836,247,836,837
836,247,121,122
93,94,31,32
0,0,720,721
2628,2627,2868,2853
768,769,821,605
33374,33346,786,773
784,785,800,689
2240,2048,2251,2624
2240,2048,2251,2250
738,739,6300,6299
738,739,796,797
853,247,852,853
836,247,796,797
6292,704,6300,4252
6300,4252,4251,96
2631,203,2637,213
227,228,240,241
2642,228,2648,241
2289,600,2295,705
706,188,706,707
706,188,852,853
720,247,852,853
560,561,558,559
137,138,836,837
6873,6872,558,559
6873,6872,2219,4992
706,188,722,723
560,561,131,132
6849,6848,852,853
6873,6872,852,853
722,723,852,853
786,773,840,705
821,804,2261,594
2048,2048,2261,594
2289,600,805,820
6849,6848,836,837
33573,33588,604,605
2637,574,2642,203
2276,594,2293,2288
2276,594,2289,2647
2194,84,272,273
83,84,868,869
35019,33362,2261,2260
240,245,202,203
834,835,2048,2048
2276,2275,2293,2288
0,0,919,920
834,851,860,923
915,916,0,0
805,820,35008,32768
848,849,884,885
834,851,919,920
212,213,2622,589
2637,213,2622,228
2251,574,2261,589
2251,574,2289,203
2251,594,2261,2260
2276,594,2293,600
2637,213,227,228
2251,241,2261,2260
2648,245,202,203
2251,2624,576,228
212,192,2622,228
2251,583,35008,804
2628,2627,35008,804
35405,32981,2622,228
2251,245,2631,203
32768,32960,32970,32971
2251,574,576,203
2276,32960,33344,32971
240,32960,33344,32971
2276,574,202,203
35044,35043,2293,2288
35044,33342,202,203
35044,33362,2293,2288
840,841,752,753
821,785,786,778
784,785,812,813
784,785,792,780
784,785,780,780
784,785,792,797
784,785,780,781
736,737,812,813
736,737,726,753
779,852,0,0
852,853,794,795
83,84,99,100
32768,32960,33344,32971
821,785,786,787
778,837,0,0
