0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,120,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,120,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,120,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,9,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
5,120,120,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,120,9,9,9,9,14,0,209,210,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
5,5,9,9,9,9,14,0,14,213,77,0,0,0,0,0,0,0,0,0,0,71,0,0,0
5,120,120,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
5,120,9,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,120,9,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,957,0
0,5,9,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,208,0
0,0,120,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,337,337,0
0,0,0,9,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,0,0,0,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0
0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0
