0,0,0,0,0,0,0,0,0,0,0,0,0
128,21,10,6,22,21,10,15,0,0,0,0,0
14,24,5,22,5,10,5,22,18,0,0,0,0
19,26,27,8,9,8,9,8,9,15,0,0,0
16,115,20,33,10,7,6,22,10,7,18,0,0
128,151,27,23,68,21,22,7,6,21,22,15,0
14,24,147,66,17,69,28,165,29,64,28,268,0
19,26,27,67,111,144,13,13,13,13,13,32,0
16,115,20,33,25,63,13,13,13,13,13,32,0
128,151,27,23,68,108,13,13,13,13,13,32,0
14,24,147,66,17,69,109,109,109,109,109,109,15
19,26,27,67,111,144,439,1022,1022,1022,1022,1022,118
16,115,20,33,25,63,108,487,487,487,487,487,559
128,151,27,23,68,108,144,487,487,487,487,487,559
14,24,147,66,17,69,105,487,487,487,487,487,559
19,26,27,67,111,144,27,487,487,487,487,487,559
16,115,20,33,25,63,70,70,70,70,70,444,0
128,151,27,23,68,108,13,13,13,13,13,32,0
14,24,147,66,147,69,13,13,13,13,13,32,0
19,26,27,67,111,23,13,13,13,13,13,32,0
16,115,20,33,25,63,13,13,13,13,13,32,0
128,151,27,23,68,108,13,13,13,13,13,32,0
14,24,147,66,17,69,109,109,109,109,109,109,15
19,26,27,67,111,144,439,1022,1022,1022,1022,1022,118
16,115,20,33,25,63,108,487,487,487,487,487,559
128,151,27,23,68,108,144,487,487,487,487,487,559
14,24,147,66,17,69,105,487,487,487,487,487,559
19,26,27,67,111,144,439,487,487,487,487,487,559
16,115,20,33,25,63,289,487,487,487,487,487,559
128,151,27,23,147,108,70,70,70,70,70,444,0
14,24,147,66,17,23,13,13,13,13,13,32,0
19,26,27,67,111,144,13,13,13,13,13,32,0
16,115,20,33,25,63,13,13,13,13,13,32,0
128,151,27,23,68,108,13,13,13,13,13,32,0
14,24,147,66,17,69,109,109,109,109,109,109,15
19,26,27,67,111,144,439,1022,1022,1022,1022,1022,118
16,115,20,33,25,63,108,487,487,487,487,487,559
128,151,27,23,68,108,144,487,487,487,487,487,559
14,24,147,66,17,69,105,487,487,487,487,487,559
39,26,27,67,111,144,439,487,487,487,487,487,559
0,40,20,0,25,63,108,487,487,487,487,487,559
0,0,41,23,0,108,159,487,487,487,487,487,559
0,0,0,40,17,69,70,70,70,70,70,444,0
0,0,0,0,41,144,13,13,13,13,13,32,0
0,0,0,0,0,42,43,43,43,43,43,43,0
